job_id,role_category,seniority,city,country_code,source_name,salary_min,salary_max,salary_currency,salary_period,salary_type,salary_midpoint,job_title
11614,other,mid,Rawalpindi,PK,chisel_pk,,,PKR,monthly,,,Full Time HR And Admin Job in Pakistan
11616,other,senior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Senior Full Stack .NET Developer Job in Pakistan
11617,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time UI/UX Designer Job in Pakistan
11618,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Intern Jobs in Pakistan
11619,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Content Writer Job in Pakistan
11620,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Senior PHP Developer Job in Pakistan
11621,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Manager Sales Jobs in Pakistan
11622,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Senior Manager Sales Jobs in Pakistan
11623,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Manager Marketing Job in Pakistan
11624,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Online Full Time Office Manager - Remote Job in Pakistan
11625,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Online Full Time Telemarketing Agent Jobs in Pakistan
11626,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Laravel Developer For UK Software House In Pakistan Job in Pakistan
11627,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Junior Laravel Developer Job in Pakistan
11628,other,junior,Bahawalpur,PK,chisel_pk,,,PKR,monthly,,,Full Time Graphic Designer Jobs in Pakistan
11629,other,mid,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Fullstack Developer Job in Pakistan
11630,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Dispatch Officer Job in Pakistan
11631,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Mechanical Engineers Job in Pakistan
11632,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time HR Manager Job in Pakistan
11633,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Editor & Proofreader Job in Pakistan
11635,other,mid,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Manager - Corporate And Institutional Sales Jobs in Pakistan
11636,other,unknown,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Need Fresh Candidates For Receptionist Job in Pakistan
11637,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Call Center Executive Jobs in Pakistan
11638,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Senior Academic Research Writer Jobs in Pakistan
11639,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Wordpress/PHP Intern Job in Pakistan
11640,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Wordpress Developer Job in Pakistan
11641,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Freelance Developer- ASP.NET MVC (Remote Job) Job in Pakistan
11642,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Manager Accounts Job in Pakistan
11643,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Social Media Marketing & SEO Job in Pakistan
11644,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Legal Associate Job in Pakistan
11645,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Assistant / Typist Job in Pakistan
11646,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Customer Sales Representative Job in Pakistan
11647,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Online Full Time Graphic Designer And Machine Operator Jobs in Pakistan
11648,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Network Engineer Job in Pakistan
11650,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Travel & Umrah Consultant Job in Pakistan
11651,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Supply And Operations Field Officer Jobs in Pakistan
11652,other,junior,Jhelum,PK,chisel_pk,,,PKR,monthly,,,Full Time Online Travel Consultant Jobs in Pakistan
11653,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Field (Outdoor) Sales Officer Jobs in Pakistan
11654,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Customer Services And Telesales Executive Job in Pakistan
11649,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,"Full Time Office Boy, Clerk, Support Staff Jobs in Pakistan"
11655,other,unknown,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Call Center Representative Jobs in Pakistan
11657,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Content Writer Job in Pakistan
11658,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Wordpress Developer Job in Pakistan
11659,other,mid,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Software Developer Jobs in Pakistan
11660,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Sr. IOS Developer Job in Pakistan
11661,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Social Media Marketer Jobs in Pakistan
11663,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Sr. Magento Backend Developer Job in Pakistan
11664,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Marketing Executive / Officer Jobs in Pakistan
11665,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Online Full Time Full Stack Javascript Developer Job in Pakistan
11666,other,unknown,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Graphics Designer Job in Pakistan
11667,other,mid,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Web Front & Back End Developer Jobs in Pakistan
11668,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time IT Helpdesk Executive Job in Pakistan
11669,other,junior,Hasan Abdal,PK,chisel_pk,,,PKR,monthly,,,Full Time Experienced Front End Developer Jobs in Pakistan
11670,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Frontend Designer & Developer Jobs in Pakistan
11671,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Php / Laravel Developer Job in Pakistan
11672,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Business Development Executive Jobs in Pakistan
11674,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Sales Manager Job in Pakistan
11675,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Business Development Manager Job in Pakistan
11676,other,mid,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Senior Software Developer Job in Pakistan
11677,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time CG Artist Jobs in Pakistan
11678,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Senior Game Developer Jobs in Pakistan
11679,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Sales IT Manager Jobs in Pakistan
11680,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Customer Sales Job in Pakistan
11681,other,mid,Multan,PK,chisel_pk,,,PKR,monthly,,,Full Time Sales And Marketing Engineer Jobs in Pakistan
11682,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time SEO Executive Job in Pakistan
11683,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Content Writer Job in Pakistan
11684,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Unity 3D Game Developer Jobs in Pakistan
11685,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time HR Executive Job in Pakistan
11686,other,mid,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Project Manager Job in Pakistan
11687,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time TSR Job in Pakistan
11688,other,junior,Rawalpindi,PK,chisel_pk,,,PKR,monthly,,,Full Time IT Officer Job in Pakistan
11689,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Sales And Service Engineer Job in Pakistan
11690,other,junior,Multan,PK,chisel_pk,,,PKR,monthly,,,Full Time Junior Android Developer Job in Pakistan
